,class,precision,recall,f1-score,accuracy
0,A,0.91752577,0.85303515,0.8841059,0.991954
1,B,0.8045977,0.9459459,0.8695652,0.9903448
2,C,0.9584775,0.9618056,0.9601386,0.9973563
3,D,0.9425287,0.9111111,0.92655367,0.99551725
4,E,0.7801205,0.81191224,0.79569894,0.98471266
5,F,0.83898306,0.94585985,0.8892215,0.99149424
6,G,0.9353612,0.89454544,0.9144981,0.99471265
7,H,0.87658226,0.9651568,0.9187397,0.99436784
8,I,0.94080997,0.877907,0.90827066,0.9929885
9,J,0.9496403,0.9072165,0.9279437,0.99528736
10,K,0.9403509,0.91780823,0.92894286,0.99528736
11,L,0.93225807,0.9601329,0.9459902,0.9962069
12,M,0.93385214,0.8080808,0.86642605,0.99149424
13,N,0.8786127,0.9411765,0.90881914,0.9929885
14,O,0.8770764,0.9496403,0.9119171,0.99413794
15,P,0.9134948,0.9041096,0.90877795,0.99390805
16,Q,0.95394737,0.93247586,0.9430894,0.995977
17,R,0.8689956,0.66333336,0.75236297,0.98494256
18,S,0.910299,0.84829724,0.8782051,0.99126434
19,T,0.90066224,0.93793106,0.91891897,0.99448276
20,U,0.62929064,0.8358663,0.7180157,0.9751724
21,V,0.72477067,0.7694805,0.74645674,0.98149425
22,W,0.8685121,0.8149351,0.84087104,0.9890805
23,X,0.82954544,0.8141264,0.82176363,0.9890805
24,Y,0.96525097,0.7936508,0.8710801,0.99149424
25,Z,0.9208861,0.9208861,0.9208861,0.99425286
26,space,0.89399296,0.9133574,0.90357137,0.99379313
27,del,0.96850395,0.8754448,0.9196261,0.99505746
28,nothing,0.9897959,0.9931741,0.99148214,0.9994253
