,class,precision,recall,f1-score,accuracy
0,A,0.8647799,0.9515571,0.90609556,0.99344826
1,B,0.97359735,0.9577922,0.9656301,0.9975862
2,C,0.9580838,1.0,0.97859323,0.9983908
3,D,0.9859155,0.93333334,0.9589041,0.9972414
4,E,0.9295302,0.8710692,0.89935064,0.99287355
5,F,0.99206346,0.95057034,0.9708738,0.9982759
6,G,0.951049,0.9784173,0.964539,0.99770117
7,H,0.9790941,0.9493243,0.9639794,0.9975862
8,I,0.96369636,0.95114005,0.957377,0.9970115
9,J,0.9726444,0.9667674,0.96969694,0.99770117
10,K,0.9459459,0.86419755,0.9032258,0.99310344
11,L,0.9498433,0.97115386,0.9603804,0.99712646
12,M,0.91054314,0.88785046,0.89905363,0.99264365
13,N,0.9255663,0.91961414,0.9225806,0.99448276
14,O,0.9138577,0.8937729,0.90370375,0.99402297
15,P,0.959854,0.98501873,0.9722735,0.9982759
16,Q,0.9326599,0.97879857,0.9551724,0.9970115
17,R,0.89347076,0.7692308,0.8267091,0.9874713
18,S,0.8305648,0.8333333,0.83194673,0.9883908
19,T,0.8640777,0.9143836,0.88851917,0.99229884
20,U,0.7562327,0.8892508,0.8173653,0.985977
21,V,0.7887324,0.83832335,0.81277215,0.9851724
22,W,0.9375,0.8910891,0.9137055,0.99413794
23,X,0.87419355,0.92491466,0.89883906,0.9929885
24,Y,0.95019156,0.96498054,0.95752895,0.9974713
25,Z,0.9653846,0.9194139,0.9418386,0.9964368
26,space,0.97315437,0.97315437,0.97315437,0.9981609
27,del,0.975265,0.9517241,0.96335083,0.9975862
28,nothing,0.99681526,0.99681526,0.99681526,0.9997701
