,class,precision,recall,f1-score,accuracy
0,A,0.8918169,0.8254172,0.85733336,0.99016094
1,B,0.89081883,0.9373368,0.913486,0.9937471
2,C,0.92542785,0.97300774,0.9486215,0.9962299
3,D,0.9479606,0.9170068,0.93222684,0.99549425
4,E,0.90258753,0.7843915,0.8393489,0.9895632
5,F,0.9405256,0.945758,0.9431345,0.9962299
6,G,0.95032054,0.8352113,0.88905555,0.9931954
7,H,0.9763231,0.9346667,0.9550409,0.9969655
8,I,0.8693931,0.8603133,0.86482936,0.99052876
9,J,0.88227683,0.93939394,0.90993994,0.99379313
10,K,0.87352943,0.78884465,0.82903004,0.9887356
11,L,0.9126582,0.96778524,0.93941367,0.99572414
12,M,0.7394015,0.8057065,0.77113134,0.9838161
13,N,0.8076923,0.8331053,0.820202,0.9877241
14,O,0.92429024,0.7886945,0.8511256,0.9905747
15,P,0.9415121,0.9230769,0.9322034,0.9955862
16,Q,0.92365456,0.9672346,0.94494236,0.996046
17,R,0.83235866,0.5685752,0.6756329,0.98114944
18,S,0.73309606,0.8174603,0.772983,0.98331034
19,T,0.74739283,0.85204756,0.79629636,0.9848276
20,U,0.59909093,0.88814014,0.71552664,0.97590804
21,V,0.71014494,0.767624,0.7377666,0.9807816
22,W,0.9460371,0.7266839,0.82197803,0.9888276
23,X,0.7754137,0.86202365,0.8164281,0.9864368
24,Y,0.9144927,0.86202186,0.88748246,0.99264365
25,Z,0.87716955,0.8806971,0.8789298,0.9916782
26,space,0.92467535,0.97002727,0.9468085,0.99632186
27,del,0.98107713,0.88918203,0.932872,0.9955402
28,nothing,0.9912391,0.98507464,0.98814726,0.99912643
