,class,precision,recall,f1-score,accuracy
0,A,0.9044118,0.87234044,0.8880867,0.99287355
1,B,0.878125,0.91233766,0.89490443,0.9924138
2,C,0.9498328,0.975945,0.9627119,0.9974713
3,D,0.8137536,0.9498328,0.8765432,0.9908046
4,E,0.8489933,0.81877023,0.833608,0.9883908
5,F,0.9246575,0.9608541,0.9424084,0.9962069
6,G,0.9462687,0.93786985,0.9420505,0.99551725
7,H,0.9594595,0.93421054,0.94666666,0.99632186
8,I,0.8179191,0.9725086,0.88854,0.99183905
9,J,0.964539,0.951049,0.9577465,0.9972414
10,K,0.875,0.8719723,0.8734836,0.9916092
11,L,0.9572368,0.9387097,0.9478828,0.99632186
12,M,0.91566265,0.71473354,0.8028169,0.9871264
13,N,0.81884056,0.8014184,0.81003577,0.9878161
14,O,0.8044077,0.9240506,0.8600883,0.9890805
15,P,0.94065285,0.951952,0.9462687,0.99586207
16,Q,0.9569892,0.93356645,0.9451328,0.9964368
17,R,0.8197279,0.85765123,0.8382609,0.9893103
18,S,0.8120567,0.7951389,0.80350876,0.9871264
19,T,0.8433735,0.74204946,0.7894736,0.9871264
20,U,0.74592835,0.8091873,0.77627116,0.9848276
21,V,0.76567656,0.7837838,0.77462435,0.98448277
22,W,0.93877554,0.7467533,0.83182645,0.9893103
23,X,0.8123077,0.8543689,0.8328076,0.9878161
24,Y,0.87352943,0.897281,0.885246,0.9911494
25,Z,0.94693875,0.84363633,0.8923077,0.99356323
26,space,0.915625,0.94212216,0.92868465,0.99482757
27,del,0.9623288,0.9335548,0.9477235,0.9964368
28,nothing,0.98722047,0.9967742,0.9919743,0.9994253
