,class,precision,recall,f1-score,accuracy
0,A,0.9063444,0.8902077,0.89820355,0.9921839
1,B,0.93225807,0.9763514,0.95379543,0.9967816
2,C,0.9573771,0.97333336,0.9652893,0.9975862
3,D,0.95859873,0.9678457,0.9632,0.9973563
4,E,0.8763251,0.8888889,0.8825623,0.9924138
5,F,0.942492,0.993266,0.9672131,0.99770117
6,G,0.964539,0.9347079,0.94938916,0.99666667
7,H,0.9288026,0.9896552,0.9582638,0.99712646
8,I,0.9669967,0.93015873,0.94822,0.99632186
9,J,0.97938144,0.959596,0.96938777,0.99793106
10,K,0.93421054,0.9311475,0.9326765,0.99528736
11,L,0.9713262,0.9575972,0.96441287,0.99770117
12,M,0.90425533,0.90106004,0.9026548,0.99367815
13,N,0.9364407,0.8666667,0.9002037,0.99436784
14,O,0.81578946,0.962069,0.8829113,0.99149424
15,P,0.9055375,0.94237286,0.92358804,0.99471265
16,Q,0.9721254,0.9117647,0.94097805,0.995977
17,R,0.9084249,0.8378378,0.8717047,0.9916092
18,S,0.788162,0.8489933,0.81744754,0.9870115
19,T,0.8760563,0.95987654,0.916053,0.99344826
20,U,0.7091837,0.9391892,0.8081395,0.9848276
21,V,0.8869258,0.8096774,0.84654295,0.9895402
22,W,0.8996764,0.91749173,0.90849674,0.99356323
23,X,0.9591837,0.7704918,0.8545455,0.9908046
24,Y,0.89045936,0.84563756,0.86746985,0.9911494
25,Z,0.98790324,0.8277027,0.9007353,0.99379313
26,space,0.95571953,0.8547855,0.902439,0.99356323
27,del,0.95,0.971246,0.96050555,0.99712646
28,nothing,1.0,0.98170733,0.99076927,0.9993104
