,class,precision,recall,f1-score,accuracy
0,A,0.9339339,0.9628483,0.9481707,0.99609196
1,B,0.97818184,0.985348,0.9817518,0.9988506
2,C,0.984326,0.9968254,0.99053633,0.9993104
3,D,0.9583333,0.9822064,0.97012305,0.998046
4,E,0.968,0.8705036,0.9166667,0.99494255
5,F,1.0,0.9641694,0.9817579,0.9987356
6,G,0.99382716,0.9757576,0.98470956,0.9988506
7,H,0.98,0.9932432,0.98657715,0.9990805
8,I,0.97359735,0.9305994,0.9516129,0.99655175
9,J,0.96686745,0.9727273,0.9697885,0.99770117
10,K,0.9660494,0.92330384,0.94419307,0.99574715
11,L,0.9898305,0.95424837,0.9717138,0.998046
12,M,0.90106004,0.9375,0.91891885,0.99482757
13,N,0.91290325,0.95286196,0.9324547,0.99528736
14,O,0.96258503,0.9370861,0.9496645,0.99655175
15,P,0.990566,0.99369085,0.992126,0.9994253
16,Q,0.99013156,0.98688525,0.9885057,0.9991954
17,R,0.8466667,0.8581081,0.852349,0.98988503
18,S,0.91449815,0.8367347,0.87388986,0.99183905
19,T,0.88435376,0.91549295,0.899654,0.99333334
20,U,0.8440678,0.8217822,0.83277595,0.9885057
21,V,0.8375,0.9273356,0.88013136,0.9916092
22,W,0.93385214,0.9125475,0.9230769,0.9954023
23,X,0.8557994,0.9130435,0.88349515,0.99172413
24,Y,0.9882353,0.9298893,0.9581749,0.9974713
25,Z,0.88724035,0.99335545,0.9373041,0.9954023
26,space,0.9930314,0.9895833,0.99130434,0.9994253
27,del,0.9903537,0.9716088,0.98089176,0.9986207
28,nothing,0.9967533,1.0,0.99837404,0.9998851
