,class,precision,recall,f1-score,accuracy
0,A,0.84731776,0.8180611,0.8324325,0.9885977
1,B,0.7232704,0.89960885,0.8018593,0.98432183
2,C,0.9313187,0.96581197,0.9482517,0.9965977
3,D,0.9775862,0.79189944,0.87499994,0.99255174
4,E,0.7959502,0.7048276,0.7476226,0.98413795
5,F,0.9417853,0.93333334,0.93754023,0.9955402
6,G,0.82626,0.86527777,0.84531885,0.9895172
7,H,0.9208054,0.925776,0.923284,0.9947586
8,I,0.78798187,0.87641865,0.82985073,0.9868966
9,J,0.8917018,0.87327826,0.8823939,0.9922299
10,K,0.6407119,0.82051283,0.7195502,0.97935635
11,L,0.84606344,0.9424084,0.8916409,0.991954
12,M,0.74512535,0.73895025,0.74202496,0.98289657
13,N,0.8948949,0.7487437,0.81532145,0.9875862
14,O,0.7610147,0.7345361,0.747541,0.98229885
15,P,0.84891164,0.8899329,0.8689384,0.9908046
16,Q,0.86202365,0.873502,0.8677249,0.9908046
17,R,0.57011914,0.82712764,0.6749864,0.9724598
18,S,0.53688526,0.849546,0.6579609,0.9686897
19,T,0.88819873,0.5813008,0.70270264,0.98331034
20,U,0.72571427,0.6381909,0.6791444,0.977931
21,V,0.71550256,0.5761317,0.63829786,0.97811496
22,W,0.85347986,0.6322931,0.7264225,0.98386204
23,X,0.9182796,0.61174786,0.7343079,0.9857931
24,Y,0.92147434,0.7324841,0.8161817,0.98809195
25,Z,0.8746594,0.8447368,0.85943776,0.9903448
26,space,0.873057,0.86299616,0.8679974,0.9905747
27,del,0.9018088,0.9064935,0.90414506,0.9931954
28,nothing,0.9027611,1.0,0.9488959,0.99627584
