,class,precision,recall,f1-score,accuracy
0,A,0.9014599,0.91481483,0.9080883,0.99425286
1,B,0.9558824,0.90909094,0.93189967,0.9956322
2,C,0.9966443,0.9519231,0.9737705,0.9981609
3,D,0.97846156,0.9464286,0.9621785,0.99712646
4,E,0.95149255,0.88850176,0.9189189,0.99482757
5,F,0.95238096,0.9815951,0.9667674,0.9974713
6,G,0.92783505,0.97472924,0.9507042,0.9967816
7,H,0.96875,0.98101264,0.9748428,0.9981609
8,I,0.9320755,0.92509365,0.92857146,0.9956322
9,J,0.94585985,0.99331105,0.9690049,0.9978161
10,K,0.8425926,0.91,0.87500006,0.9910345
11,L,0.9820144,0.97153026,0.97674423,0.9985058
12,M,0.9018405,0.9216301,0.9116279,0.99344826
13,N,0.9362416,0.8971061,0.9162561,0.99413794
14,O,0.90140843,0.89824563,0.89982426,0.99344826
15,P,0.96842104,0.904918,0.9355932,0.9956322
16,Q,0.91463417,0.9868421,0.9493671,0.99632186
17,R,0.78614455,0.85016286,0.8169014,0.9865517
18,S,0.9212329,0.8733766,0.89666665,0.99287355
19,T,0.9166667,0.92523366,0.92093027,0.99413794
20,U,0.7909091,0.87583894,0.8312102,0.9878161
21,V,0.8063492,0.83828384,0.82200646,0.9873563
22,W,0.93333334,0.84713376,0.88814694,0.99229884
23,X,0.94174755,0.9356913,0.9387097,0.9956322
24,Y,0.98188406,0.89144737,0.93448275,0.9956322
25,Z,0.97472924,0.92783505,0.9507042,0.9967816
26,space,0.9686411,0.97202796,0.9703316,0.998046
27,del,0.9433333,0.97923875,0.96095073,0.9973563
28,nothing,0.989547,0.989547,0.989547,0.9993104
