,precision,recall,f1-score,accuracy
0,0.93070865,0.99662733,4.1556683,0.9973563
1,0.9754816,0.9964222,4.057451,0.9990805
2,0.9842767,0.9984051,4.035144,0.99936783
3,0.99837923,0.99837923,4.0064936,0.9998851
4,0.94086957,0.9575221,4.214418,0.99666667
5,0.99840766,0.9905213,4.022329,0.9995977
6,0.96623796,0.99011534,4.08985,0.99844825
7,1.0,0.9624183,4.0780983,0.99867815
8,0.996357,0.93664384,4.142596,0.9977586
9,1.0,0.9809221,4.038898,0.9993104
10,1.0,0.9405321,4.126456,0.9978161
11,0.99319726,0.99488926,4.0239725,0.9995977
12,0.99647886,0.9576988,4.095406,0.99844825
13,0.9822006,0.99835527,4.039539,0.9993104
14,0.99655175,0.9846678,4.038062,0.99936783
15,0.9983633,0.9807074,4.0426226,0.99925286
16,0.98376626,0.9950739,4.042904,0.99925286
17,0.99647886,0.9386401,4.1378093,0.9977586
18,0.98336107,0.9817276,4.071066,0.9987931
19,0.97557,0.9900826,4.070117,0.9987931
20,0.9197531,0.9916805,4.191275,0.9967241
21,0.909688,0.9358108,4.33574,0.9946552
22,0.9655172,0.97053725,4.132143,0.99787354
23,0.9677939,0.9852459,4.0965056,0.99833333
24,0.9896373,0.9965217,4.027923,0.9995402
25,0.9915254,0.9881757,4.0410256,0.9993104
26,0.9947644,0.9930314,4.0245614,0.9995977
27,0.99667776,0.990099,4.0266666,0.9995402
28,1.0,1.0,4.0,1.0
