,class,precision,recall,f1-score,accuracy
0,A,0.96478873,0.9480969,0.95637,0.99712646
1,B,0.98671097,0.96428573,0.9753695,0.9982759
2,C,0.99358976,0.96875,0.9810127,0.9986207
3,D,0.9426752,0.9866667,0.9641694,0.9974713
4,E,0.8224044,0.9465409,0.880117,0.9905747
5,F,0.9622642,0.9695817,0.9659091,0.99793106
6,G,0.91780823,0.9640288,0.94035083,0.99609196
7,H,0.9931507,0.9797297,0.9863946,0.9990805
8,I,0.9375,0.92833877,0.93289685,0.99528736
9,J,0.9529412,0.978852,0.9657228,0.9973563
10,K,0.8757062,0.95679015,0.9144543,0.99333334
11,L,0.98344374,0.9519231,0.96742666,0.99770117
12,M,0.869697,0.894081,0.8817204,0.9911494
13,N,0.9655172,0.8102894,0.88111883,0.9921839
14,O,0.9328358,0.9157509,0.92421436,0.99528736
15,P,0.99230766,0.96629214,0.9791271,0.9987356
16,Q,0.9656357,0.99293286,0.979094,0.9986207
17,R,0.88023955,0.8698225,0.87500006,0.9903448
18,S,0.88235295,0.8,0.8391608,0.9894253
19,T,0.89354837,0.94863015,0.9202658,0.99448276
20,U,0.85209006,0.8631922,0.8576052,0.98988503
21,V,0.9126214,0.84431136,0.87713844,0.99091953
22,W,0.9240924,0.9240924,0.9240924,0.99471265
23,X,0.8774834,0.9044369,0.8907563,0.99252874
24,Y,0.9398496,0.97276264,0.956023,0.9973563
25,Z,0.936803,0.9230769,0.92988926,0.9956322
26,space,0.99312717,0.9697987,0.98132426,0.9987356
27,del,0.9575972,0.93448275,0.9458988,0.9964368
28,nothing,0.99681526,0.99681526,0.99681526,0.9997701
