,class,precision,recall,f1-score,accuracy
0,A,0.9810606,0.8576159,0.9151944,0.99448276
1,B,0.98239434,0.8942308,0.9362416,0.9956322
2,C,0.9762712,0.99310344,0.98461545,0.9989655
3,D,0.9766667,0.9575163,0.96699667,0.99770117
4,E,0.9496403,0.80487806,0.87128717,0.9910345
5,F,0.9245902,0.9559322,0.94,0.99586207
6,G,0.98688525,0.9148936,0.9495268,0.99632186
7,H,0.95637584,0.97938144,0.96774197,0.9978161
8,I,0.7521866,0.9809886,0.85148513,0.9896552
9,J,0.93290734,0.96369636,0.9480519,0.99632186
10,K,0.89032257,0.904918,0.89756095,0.99275863
11,L,0.9528302,0.99671054,0.97427654,0.9981609
12,M,0.8459302,0.9179811,0.88048416,0.99091953
13,N,0.94139194,0.8566667,0.89703315,0.99321836
14,O,0.9513109,0.86986303,0.9087657,0.99413794
15,P,0.95409834,0.97979796,0.9667774,0.99770117
16,Q,0.98107255,0.9628483,0.971875,0.99793106
17,R,0.83838385,0.8586207,0.84838164,0.9897701
18,S,0.8582996,0.7361111,0.7925234,0.9872414
19,T,0.92628205,0.9059561,0.9160063,0.99390805
20,U,0.8211679,0.79787236,0.8093526,0.9878161
21,V,0.74581003,0.86970687,0.8030075,0.98494256
22,W,0.92783505,0.86538464,0.89552236,0.99275863
23,X,0.75136614,0.9322034,0.8320727,0.9872414
24,Y,0.956229,0.9281046,0.9419569,0.995977
25,Z,0.94670844,0.94375,0.9452269,0.995977
26,space,0.9889706,0.9539007,0.97111905,0.9981609
27,del,0.9577465,0.9714286,0.964539,0.99770117
28,nothing,0.99242425,1.0,0.9961977,0.9997701
