loss,accuracy,preicsion,recalls
3.3674910068511963,0.0,0.0,0.0
3.3671302795410156,0.0,0.0,0.0
3.3681788444519043,0.0,0.0,0.0
3.367985248565674,0.0,0.0,0.0
3.3670146465301514,0.0,0.0,0.0
3.366396427154541,0.0,0.0,0.0
3.367288827896118,0.0,0.0,0.0
3.364525079727173,0.0,0.0,0.0
3.36523175239563,0.0,0.0,0.0
3.3655357360839844,0.0,0.0,0.0
3.3646531105041504,0.0,0.0,0.0
3.362196445465088,0.0,0.0,0.0
3.3675003051757812,0.0,0.0,0.0
3.3687777519226074,0.0,0.0,0.0
3.364471912384033,0.0,0.0,0.0
3.370572566986084,0.0,0.0,0.0
3.3672094345092773,0.0,0.0,0.0
3.3687686920166016,0.0,0.0,0.0
3.362435817718506,0.0,0.0,0.0
3.3647069931030273,0.0,0.0,0.0
3.3671414852142334,0.0,0.0,0.0
3.365764617919922,0.0,0.0,0.0
3.367483139038086,0.0,0.0,0.0
3.363516092300415,0.0,0.0,0.0
3.3623476028442383,0.0,0.0,0.0
3.3623671531677246,0.0,0.0,0.0
3.360445022583008,0.0,0.0,0.0
3.3641350269317627,0.0,0.0,0.0
3.3624656200408936,0.0,0.0,0.0
3.3646044731140137,0.0,0.0,0.0
3.3613014221191406,0.0,0.0,0.0
3.3653736114501953,0.0,0.0,0.0
3.366743803024292,0.0,0.0,0.0
3.3664283752441406,0.0,0.0,0.0
3.362168312072754,0.0,0.0,0.0
3.364800453186035,0.0,0.0,0.0
3.361400604248047,0.0,0.0,0.0
3.3609564304351807,0.0,0.0,0.0
3.3655893802642822,0.0,0.0,0.0
3.3649940490722656,0.0,0.0,0.0
3.3627095222473145,0.0,0.0,0.0
3.361602544784546,0.0,0.0,0.0
3.363593578338623,0.0,0.0,0.0
3.361515522003174,0.0,0.0,0.0
3.3617162704467773,0.0,0.0,0.0
3.369218111038208,0.0,0.0,0.0
3.362375020980835,0.0,0.0,0.0
3.3582592010498047,0.0,0.0,0.0
3.355464458465576,0.0,0.0,0.0
3.356555461883545,0.0,0.0,0.0
3.3520188331604004,0.0,0.0,0.0
