,class,precision,recall,f1-score,accuracy
0,A,0.8918919,0.8918919,0.8918919,0.99264365
1,B,0.95238096,0.9677419,0.96,0.99712646
2,C,1.0,0.9812734,0.9905482,0.9994253
3,D,0.94212216,0.9832215,0.9622331,0.9973563
4,E,0.86738354,0.90636706,0.88644695,0.99287355
5,F,0.97712415,0.9614148,0.9692058,0.9978161
6,G,0.94461536,0.9654088,0.9548989,0.99666667
7,H,0.9741936,0.96794873,0.97106117,0.99793106
8,I,0.90228015,0.9326599,0.91721857,0.99425286
9,J,0.96336997,0.9704797,0.9669118,0.99793106
10,K,0.82758623,0.9486166,0.8839779,0.99275863
11,L,0.9692308,0.9752322,0.9722222,0.99793106
12,M,0.9,0.7741935,0.83236986,0.99
13,N,0.83008355,0.9581994,0.88955224,0.99149424
14,O,0.9143731,0.9171779,0.91577333,0.99367815
15,P,0.94863015,0.91721857,0.9326599,0.9954023
16,Q,0.95438594,0.9749104,0.96453905,0.99770117
17,R,0.8857143,0.7209302,0.79487175,0.9871264
18,S,0.8833333,0.8833333,0.8833333,0.991954
19,T,0.9225589,0.9351536,0.9288135,0.99517244
20,U,0.7747989,0.9003115,0.8328531,0.9866667
21,V,0.88235295,0.8272059,0.85388994,0.9911494
22,W,0.9125874,0.9222615,0.917399,0.9945977
23,X,0.95801526,0.82838285,0.88849556,0.99275863
24,Y,0.96374625,0.9522388,0.9579579,0.9967816
25,Z,0.97727275,0.9052632,0.93989074,0.9962069
26,space,0.9795322,0.9626437,0.9710145,0.99770117
27,del,0.96511626,0.97360706,0.9693431,0.9975862
28,nothing,0.99331105,0.9966443,0.9949749,0.9996552
