,class,precision,recall,f1-score,accuracy
0,A,0.9464883,0.876161,0.9099679,0.99356323
1,B,0.9492754,0.95970696,0.9544627,0.99712646
2,C,0.99681526,0.9936508,0.9952305,0.9996552
3,D,0.88349515,0.97153026,0.92542374,0.99494255
4,E,0.86619717,0.8848921,0.8754448,0.991954
5,F,0.9773463,0.9837133,0.98051953,0.9986207
6,G,0.9807692,0.92727274,0.95327103,0.99655175
7,H,0.9700997,0.9864865,0.9782245,0.9985058
8,I,0.96258503,0.8927445,0.92635024,0.99482757
9,J,0.98722047,0.93636364,0.9611198,0.99712646
10,K,0.956229,0.8377581,0.8930818,0.9921839
11,L,0.9797297,0.9477124,0.9634552,0.9974713
12,M,0.8675958,0.91544116,0.89087653,0.9929885
13,N,0.90459365,0.86195284,0.8827586,0.9921839
14,O,0.9288026,0.95033115,0.9394436,0.99574715
15,P,0.974359,0.9589905,0.9666137,0.9975862
16,Q,0.9226006,0.9770492,0.9490446,0.99632186
17,R,0.773842,0.9594595,0.856712,0.9890805
18,S,0.91007197,0.8605442,0.8846154,0.9924138
19,T,0.89361703,0.8873239,0.8904593,0.99287355
20,U,0.9150579,0.7821782,0.8434164,0.98988503
21,V,0.8006135,0.9031142,0.8487805,0.9893103
22,W,0.9574468,0.85551333,0.90361446,0.99448276
23,X,0.8068182,0.9498328,0.87250394,0.9904598
24,Y,0.95555556,0.9520295,0.95378923,0.99712646
25,Z,0.9272152,0.97342193,0.9497569,0.9964368
26,space,0.9559322,0.9791667,0.96740997,0.9978161
27,del,0.9897959,0.9179811,0.95253676,0.99666667
28,nothing,0.9967533,1.0,0.99837404,0.9998851
