,class,precision,recall,f1-score,accuracy
0,A,0.77481484,0.71253407,0.74237055,0.98331034
1,B,0.84324324,0.8167539,0.82978725,0.9882299
2,C,0.9638889,0.9327957,0.9480874,0.99650574
3,D,0.8420398,0.88265973,0.8618715,0.990023
4,E,0.79058444,0.6110414,0.68931353,0.9798161
5,F,0.89219856,0.8772664,0.8846695,0.9924598
6,G,0.8224917,0.92098767,0.86895746,0.9896552
7,H,0.9491525,0.9044415,0.9262577,0.9950805
8,I,0.7277628,0.7616361,0.74431425,0.9829425
9,J,0.89534885,0.90234375,0.8988327,0.9928276
10,K,0.7184241,0.8222812,0.7668522,0.9826667
11,L,0.81145585,0.88772845,0.8478803,0.98878163
12,M,0.73035437,0.5866337,0.65065205,0.9765977
13,N,0.6403509,0.61087865,0.6252676,0.9758621
14,O,0.6028084,0.8088829,0.6908046,0.9752644
15,P,0.9382716,0.9,0.91873735,0.9944368
16,Q,0.90014064,0.87791497,0.8888889,0.99264365
17,R,0.5450292,0.63058186,0.5846926,0.96956325
18,S,0.7418655,0.48101267,0.58361775,0.9775632
19,T,0.60599077,0.70509386,0.65179676,0.9741609
20,U,0.53324807,0.57916665,0.55525964,0.96928734
21,V,0.6924429,0.5157068,0.5911478,0.9749425
22,W,0.7659575,0.6870229,0.7243461,0.9811034
23,X,0.59925556,0.6330275,0.6156787,0.97227585
24,Y,0.74418604,0.86821705,0.80143106,0.98468965
25,Z,0.77888733,0.75,0.7641708,0.9845058
26,space,0.85264486,0.9026667,0.87694305,0.99126434
27,del,0.8990182,0.8853591,0.8921364,0.99287355
28,nothing,0.9562243,0.9776224,0.966805,0.9977931
