	                                	
----------------------------------------------------------------

	                                	ImageProcessingApp
	                                	2023.07.27.02.42.25.497233
	                                	
----------------------------------------------------------------

	2023.07.27.02.42.25.576365      	Intializing StrategyManager ... 
	2023.07.27.02.43.01.282116      			Retreving batch #71 w/ 128 samples
	2023.07.27.02.43.01.776793      			Retreving batch #72 w/ 128 samples
	2023.07.27.02.43.02.212871      			Retreving batch #73 w/ 128 samples
	2023.07.27.02.43.02.671645      			Retreving batch #74 w/ 128 samples
	2023.07.27.02.43.03.099501      			Retreving batch #75 w/ 128 samples
	2023.07.27.02.43.03.583208      			Retreving batch #76 w/ 128 samples
	2023.07.27.02.43.04.010710      			Retreving batch #77 w/ 128 samples
	2023.07.27.02.43.04.468304      			Retreving batch #78 w/ 128 samples
	2023.07.27.02.43.04.894004      			Retreving batch #79 w/ 128 samples
	2023.07.27.02.43.05.337538      			Retreving batch #80 w/ 128 samples
	2023.07.27.02.43.05.778391      			Retreving batch #81 w/ 128 samples
	2023.07.27.02.43.06.203511      			Retreving batch #82 w/ 128 samples
	2023.07.27.02.43.06.663282      			Retreving batch #83 w/ 128 samples
	2023.07.27.02.43.07.084942      			Retreving batch #84 w/ 128 samples
	2023.07.27.02.43.07.566779      			Retreving batch #85 w/ 128 samples
	2023.07.27.02.43.07.991022      			Retreving batch #86 w/ 128 samples
	2023.07.27.02.43.08.441340      			Retreving batch #87 w/ 128 samples
	2023.07.27.02.43.08.870193      			Retreving batch #88 w/ 128 samples
	2023.07.27.02.43.09.304992      			Retreving batch #89 w/ 128 samples
	2023.07.27.02.43.09.739569      			Retreving batch #90 w/ 128 samples
	2023.07.27.02.43.10.165363      			Retreving batch #91 w/ 128 samples
	2023.07.27.02.43.10.631117      			Retreving batch #92 w/ 128 samples
	2023.07.27.02.43.11.059971      			Retreving batch #93 w/ 128 samples
	2023.07.27.02.43.11.534700      			Retreving batch #94 w/ 128 samples
	2023.07.27.02.43.11.956433      			Retreving batch #95 w/ 128 samples
	2023.07.27.02.43.12.396258      			Retreving batch #96 w/ 128 samples
	2023.07.27.02.43.12.820459      			Retreving batch #97 w/ 128 samples
	2023.07.27.02.43.13.243542      			Retreving batch #98 w/ 128 samples
	2023.07.27.02.43.13.699323      			Retreving batch #99 w/ 128 samples
	2023.07.27.02.43.14.123190      			Retreving batch #100 w/ 128 samples
	2023.07.27.02.43.14.598848      			Retreving batch #101 w/ 128 samples
	2023.07.27.02.43.15.027343      			Retreving batch #102 w/ 128 samples
	2023.07.27.02.43.15.501937      			Retreving batch #103 w/ 128 samples
	2023.07.27.02.43.15.925834      			Retreving batch #104 w/ 128 samples
	2023.07.27.02.43.16.370996      			Retreving batch #105 w/ 128 samples
	2023.07.27.02.43.16.801708      			Retreving batch #106 w/ 128 samples
	2023.07.27.02.43.17.227395      			Retreving batch #107 w/ 128 samples
	2023.07.27.02.43.17.691154      			Retreving batch #108 w/ 128 samples
	2023.07.27.02.43.18.117905      			Retreving batch #109 w/ 128 samples
	2023.07.27.02.43.18.590125      			Retreving batch #110 w/ 128 samples
	2023.07.27.02.43.19.016459      			Retreving batch #111 w/ 128 samples
	2023.07.27.02.43.19.480218      			Retreving batch #112 w/ 128 samples
	2023.07.27.02.43.19.913382      			Retreving batch #113 w/ 128 samples
	2023.07.27.02.43.20.352438      			Retreving batch #114 w/ 128 samples
	2023.07.27.02.43.20.776741      			Retreving batch #115 w/ 128 samples
	2023.07.27.02.43.21.205593      			Retreving batch #116 w/ 128 samples
	2023.07.27.02.43.21.696281      			Retreving batch #117 w/ 128 samples
	2023.07.27.02.43.22.122305      			Retreving batch #118 w/ 128 samples
	2023.07.27.02.43.22.585263      			Retreving batch #119 w/ 128 samples
	2023.07.27.02.43.23.005748      			Retreving batch #120 w/ 128 samples
	2023.07.27.02.43.23.465518      			Retreving batch #121 w/ 128 samples
	2023.07.27.02.43.23.891402      			Retreving batch #122 w/ 128 samples
	2023.07.27.02.43.24.325046      			Retreving batch #123 w/ 128 samples
	2023.07.27.02.43.24.759806      			Retreving batch #124 w/ 128 samples
	2023.07.27.02.43.25.181678      			Retreving batch #125 w/ 128 samples
