,class,precision,recall,f1-score,accuracy
0,A,0.89337176,0.8446866,0.86834735,0.9913563
1,B,0.84375,0.9601707,0.89820355,0.9929655
2,C,0.9809004,0.9265464,0.9529489,0.99673563
3,D,0.8215488,0.9360614,0.87507474,0.9903908
4,E,0.8112948,0.81578946,0.8135359,0.9875862
5,F,0.9690444,0.9183673,0.9430255,0.996
6,G,0.8988604,0.83026314,0.863201,0.9908046
7,H,0.92839503,0.98172325,0.95431465,0.9966897
8,I,0.7846535,0.8661202,0.8233766,0.98749423
9,J,0.9467041,0.86538464,0.9042197,0.9934253
10,K,0.79898864,0.79898864,0.79898864,0.98537934
11,L,0.90039843,0.93517244,0.9174561,0.9943908
12,M,0.80246913,0.7103825,0.7536232,0.9843678
13,N,0.7906404,0.8492063,0.8188775,0.9869425
14,O,0.8663522,0.7466125,0.8020379,0.98749423
15,P,0.96902657,0.8423077,0.90123457,0.9933793
16,Q,0.9558011,0.91413474,0.93450373,0.9955402
17,R,0.7703125,0.65039575,0.7052933,0.98105747
18,S,0.85248446,0.72047246,0.78093886,0.98583907
19,T,0.81747067,0.82608694,0.82175624,0.98749423
20,U,0.6234818,0.8301887,0.7121388,0.9771035
21,V,0.7141042,0.75843453,0.735602,0.9814253
22,W,0.7853026,0.77304965,0.77912796,0.9857931
23,X,0.78624076,0.8226221,0.8040201,0.9856552
24,Y,0.8945022,0.84908324,0.87120116,0.9918161
25,Z,0.90450203,0.86553526,0.88458973,0.992046
26,space,0.8675743,0.9537415,0.9086196,0.9935172
27,del,0.8894349,0.96791446,0.9270166,0.9947586
28,nothing,0.9944904,0.9903978,0.9924399,0.99949425
