,class,precision,recall,f1-score,accuracy
0,A,0.9419355,0.93290734,0.9373996,0.99551725
1,B,0.9208861,0.9831081,0.9509804,0.99655175
2,C,0.993007,0.9861111,0.989547,0.9993104
3,D,0.96014494,0.9814815,0.97069603,0.9981609
4,E,0.90149254,0.94670844,0.9235474,0.99425286
5,F,0.98717946,0.9808917,0.9840255,0.9988506
6,G,0.95035464,0.9745455,0.96229804,0.9975862
7,H,0.959596,0.9930314,0.9760274,0.9983908
8,I,0.93390805,0.9447674,0.9393063,0.99517244
9,J,0.993007,0.975945,0.9844021,0.9989655
10,K,0.8862876,0.90753424,0.89678514,0.9929885
11,L,0.98333335,0.9800664,0.9816972,0.9987356
12,M,0.9492754,0.8821549,0.91448516,0.99436784
13,N,0.8926554,0.97832817,0.9335303,0.99482757
14,O,0.95167285,0.92086333,0.93601465,0.995977
15,P,0.96099293,0.92808217,0.9442509,0.99632186
16,Q,0.9325153,0.977492,0.95447415,0.99666667
17,R,0.8369906,0.89,0.86268175,0.9902299
18,S,0.9470199,0.88544893,0.91520005,0.99390805
19,T,0.9222973,0.9413793,0.93174064,0.9954023
20,U,0.887538,0.887538,0.887538,0.99149424
21,V,0.846875,0.8798701,0.8630573,0.9901149
22,W,0.9619772,0.8214286,0.88616467,0.99252874
23,X,0.93430656,0.95167285,0.9429098,0.9964368
24,Y,1.0,0.9111111,0.95348835,0.9967816
25,Z,0.9776358,0.9683544,0.972973,0.998046
26,space,0.9677419,0.97472924,0.97122306,0.9981609
27,del,0.9925926,0.95373666,0.9727767,0.9982759
28,nothing,0.99659866,1.0,0.9982964,0.9998851
