,class,precision,recall,f1-score,accuracy
0,A,0.9361702,0.91394657,0.9249249,0.99425286
1,B,0.8445748,0.972973,0.90423864,0.9929885
2,C,0.9832776,0.98,0.9816361,0.9987356
3,D,0.9683099,0.8842444,0.92436975,0.99482757
4,E,0.89619374,0.9283154,0.9119718,0.99425286
5,F,0.94498384,0.98316497,0.9636964,0.9974713
6,G,0.9409836,0.9862543,0.9630872,0.9974713
7,H,0.9455782,0.95862067,0.95205474,0.9967816
8,I,0.88650304,0.9174603,0.90171605,0.99275863
9,J,0.94285715,1.0,0.97058827,0.99793106
10,K,0.87974685,0.9114754,0.8953301,0.99252874
11,L,0.9749104,0.96113074,0.9679715,0.99793106
12,M,0.8344371,0.89045936,0.8615384,0.99068964
13,N,0.9032258,0.8784314,0.890656,0.99367815
14,O,0.87666667,0.90689653,0.89152545,0.99264365
15,P,0.975945,0.9627119,0.96928334,0.99793106
16,Q,0.97324413,0.95098037,0.96198344,0.9973563
17,R,0.7980769,0.8412162,0.8190789,0.9873563
18,S,0.8862069,0.8624161,0.8741497,0.99149424
19,T,0.8710602,0.9382716,0.9034175,0.99252874
20,U,0.83766234,0.8716216,0.8543046,0.98988503
21,V,0.8722628,0.7709677,0.8184931,0.9878161
22,W,0.95437264,0.82838285,0.8869258,0.99264365
23,X,0.83641976,0.8885246,0.8616852,0.99
24,Y,0.94525546,0.8691275,0.90559435,0.99379313
25,Z,0.97794116,0.8986486,0.9366197,0.99586207
26,space,0.99649125,0.9372937,0.9659864,0.99770117
27,del,0.9799331,0.9361022,0.9575163,0.9970115
28,nothing,1.0,0.9878049,0.993865,0.9995402
