,class,precision,recall,f1-score,accuracy
0,A,0.86206895,0.910596,0.8856683,0.99183905
1,B,0.90797544,0.94871795,0.92789966,0.99471265
2,C,0.9964158,0.95862067,0.9771529,0.9985058
3,D,0.9433962,0.98039216,0.9615385,0.9972414
4,E,0.9267516,0.8871951,0.90654206,0.99310344
5,F,0.9198718,0.9728814,0.9456343,0.9962069
6,G,0.9461078,0.9604863,0.9532429,0.9964368
7,H,0.9253247,0.97938144,0.951586,0.99666667
8,I,0.8269231,0.9809886,0.8973913,0.99321836
9,J,0.9358974,0.96369636,0.9495934,0.9964368
10,K,0.9381443,0.895082,0.91610736,0.99425286
11,L,0.9614148,0.98355263,0.9723577,0.998046
12,M,0.94795537,0.8044164,0.8703072,0.99126434
13,N,0.93793106,0.9066667,0.9220339,0.99471265
14,O,0.9219858,0.89041096,0.90592337,0.99379313
15,P,0.9419795,0.9292929,0.93559325,0.9956322
16,Q,0.9674267,0.91950464,0.94285715,0.99586207
17,R,0.83548385,0.8931034,0.86333334,0.9905747
18,S,0.875969,0.7847222,0.8278388,0.9891954
19,T,0.8518519,0.86520374,0.8584759,0.9895402
20,U,0.7871622,0.82624114,0.8062284,0.9871264
21,V,0.8666667,0.8469055,0.85667217,0.99
22,W,0.93877554,0.88461536,0.91089106,0.99379313
23,X,0.8485804,0.9118644,0.87908494,0.99149424
24,Y,0.98245615,0.9150327,0.94754654,0.9964368
25,Z,0.93949044,0.921875,0.93059933,0.99494255
26,space,0.9651568,0.9822695,0.973638,0.9982759
27,del,0.989011,0.96428573,0.97649187,0.9985058
28,nothing,0.98867923,1.0,0.9943074,0.9996552
