,class,precision,recall,f1-score,accuracy
0,A,0.95849055,0.83828384,0.8943662,0.99310344
1,B,0.9513889,0.89542484,0.92255896,0.99471265
2,C,0.9966887,0.9376947,0.96629214,0.9975862
3,D,0.92253524,0.91608393,0.91929823,0.99471265
4,E,0.80813956,0.8714734,0.8386124,0.9877012
5,F,0.875,0.95666665,0.91401273,0.99379313
6,G,0.90378004,0.9260563,0.9147826,0.99436784
7,H,0.93690854,0.9519231,0.9443561,0.995977
8,I,0.7887324,0.93645483,0.8562691,0.9891954
9,J,0.9198606,0.9530686,0.9361702,0.99586207
10,K,0.85130113,0.806338,0.82820976,0.9890805
11,L,0.9598662,0.95033115,0.9550749,0.99689656
12,M,0.8888889,0.8684211,0.8785358,0.9916092
13,N,0.9,0.9,0.9,0.99310344
14,O,0.8726708,0.8920635,0.8822606,0.9913793
15,P,0.94699645,0.94699645,0.9469965,0.99655175
16,Q,0.9737828,0.88435376,0.92691624,0.99528736
17,R,0.83870965,0.72982454,0.78048784,0.9865517
18,S,0.8933333,0.68600684,0.7760618,0.9866667
19,T,0.6413302,0.94736844,0.7648725,0.98091954
20,U,0.7916667,0.84013605,0.8151815,0.9871264
21,V,0.59791124,0.8091873,0.6876877,0.976092
22,W,0.8405316,0.7620482,0.7993681,0.9854023
23,X,0.96370965,0.742236,0.83859646,0.9894253
24,Y,0.9708029,0.84713376,0.9047619,0.99356323
25,Z,0.9550173,0.89032257,0.9215359,0.9945977
26,space,0.9419795,0.9517241,0.94682676,0.9964368
27,del,0.91749173,0.9328859,0.92512476,0.99482757
28,nothing,0.9934426,0.9934426,0.9934426,0.9995402
