,class,precision,recall,f1-score,accuracy
0,A,0.9622642,0.8614865,0.9090909,0.99413794
1,B,0.98688525,0.97096777,0.97886175,0.9985058
2,C,0.9775281,0.9775281,0.9775281,0.9986207
3,D,0.986014,0.94630873,0.96575344,0.99770117
4,E,0.9390244,0.8651685,0.9005848,0.99413794
5,F,0.9621451,0.9807074,0.9713376,0.99793106
6,G,0.9678457,0.9465409,0.95707476,0.99689656
7,H,0.9736842,0.94871795,0.96103895,0.9972414
8,I,0.82947975,0.96633,0.89269054,0.99206895
9,J,0.9368421,0.98523986,0.96043164,0.9974713
10,K,0.8450704,0.9486166,0.89385474,0.99344826
11,L,0.9525223,0.99380803,0.97272724,0.99793106
12,M,0.92771083,0.827957,0.875,0.9924138
13,N,0.8892308,0.92926043,0.908805,0.99333334
14,O,0.9032258,0.9447853,0.92353827,0.99413794
15,P,0.9861111,0.9403973,0.9627118,0.9974713
16,Q,0.9890909,0.9749104,0.98194945,0.9988506
17,R,0.9087452,0.79401994,0.8475177,0.9901149
18,S,0.8761905,0.92,0.89756095,0.99275863
19,T,0.8698413,0.9351536,0.9013158,0.99310344
20,U,0.8575758,0.88161993,0.8694317,0.9902299
21,V,0.90873015,0.8419118,0.8740458,0.9924138
22,W,0.8745875,0.93639576,0.9044369,0.99356323
23,X,0.86404836,0.9438944,0.9022082,0.99287355
24,Y,0.97096777,0.8985075,0.93333334,0.99505746
25,Z,0.96629214,0.9052632,0.9347826,0.99586207
26,space,0.9549296,0.9741379,0.96443814,0.99712646
27,del,0.972973,0.9501466,0.96142435,0.9970115
28,nothing,1.0,0.9899329,0.994941,0.9996552
