loss,accuracy,preicsion,recalls
3.366513252258301,0.010536398738622665,0.9663865566253662,0.4563491940498352
3.363103151321411,0.0,0.0,0.0
3.3655359745025635,0.0,0.0,0.0
3.3611221313476562,0.0,0.0,0.0
3.362121343612671,0.0,0.0,0.0
3.357240676879883,0.0,0.0,0.0
3.361052989959717,0.0,0.0,0.0
3.3559041023254395,0.0,0.0,0.0
3.376162052154541,0.0,0.0,0.0
3.368565082550049,0.0,0.0,0.0
3.3551902770996094,0.0,0.0,0.0
3.3500983715057373,0.0,0.0,0.0
3.3717520236968994,0.0,0.0,0.0
3.3650245666503906,0.0,0.0,0.0
3.337186574935913,0.0,0.0,0.0
3.33060884475708,0.0,0.0,0.0
3.345945358276367,0.0,0.0,0.0
3.338439464569092,0.0,0.0,0.0
3.3537325859069824,0.0,0.0,0.0
3.346911907196045,0.0,0.0,0.0
3.3247270584106445,0.0,0.0,0.0
3.314887523651123,0.0,0.0,0.0
3.366903305053711,0.0,0.0,0.0
3.3519504070281982,0.0,0.0,0.0
3.310375690460205,0.0,0.0,0.0
3.30389666557312,0.0,0.0,0.0
3.2977182865142822,0.0,0.0,0.0
3.2778797149658203,0.0,0.0,0.0
3.342987060546875,0.0,0.0,0.0
3.329251527786255,0.0,0.0,0.0
3.344156503677368,0.0,0.0,0.0
3.3227319717407227,0.0,0.0,0.0
3.2554798126220703,0.0,0.0,0.0
3.245847225189209,0.0,0.0,0.0
3.3060927391052246,0.0,0.0,0.0
3.2970240116119385,0.0,0.0,0.0
3.2898876667022705,0.0,0.0,0.0
3.2736732959747314,0.0,0.0,0.0
3.243600368499756,0.0,0.0,0.0
3.224066972732544,0.0,0.0,0.0
3.3126180171966553,0.0,0.0,0.0
3.281851291656494,0.0,0.0,0.0
3.159566879272461,0.0,0.0,0.0
3.127894401550293,0.0,0.0,0.0
3.2276968955993652,0.0,0.0,0.0
3.201903820037842,0.0,0.0,0.0
3.2560765743255615,0.0,0.0,0.0
3.2075092792510986,0.0,0.0,0.0
3.149837017059326,0.0,0.0,0.0
3.1229944229125977,0.0,0.0,0.0
3.124509811401367,0.0,0.0,0.0
3.0909981727600098,0.0,0.0,0.0
3.156992197036743,0.0,0.0,0.0
3.1142992973327637,0.0,0.0,0.0
3.1420915126800537,0.0,0.0,0.0
3.1138129234313965,0.0,0.0,0.0
3.0881943702697754,0.0,0.0,0.0
3.041262149810791,0.0,0.0,0.0
3.163402557373047,0.0,0.0,0.0
3.1376917362213135,0.0,0.0,0.0
3.073788642883301,0.0,0.0,0.0
