,class,precision,recall,f1-score,accuracy
0,A,0.122047246,0.10333333,0.11191336,0.9434483
1,B,0.5,0.11,0.18032786,0.9655172
2,C,0.28862974,0.33,0.30793157,0.9488506
3,D,0.09677419,0.4,0.15584415,0.85057473
4,E,0.109354414,0.27666667,0.15675166,0.89735633
5,F,0.17994858,0.23333333,0.20319304,0.93689656
6,G,0.23015873,0.096666664,0.13615024,0.95770115
7,H,0.54901963,0.18666667,0.27860698,0.96666664
8,I,0.071428575,0.013333334,0.02247191,0.96
9,J,0.17948718,0.046666667,0.074074075,0.95977014
10,K,0.1732852,0.16,0.16637781,0.94471264
11,L,0.12608695,0.096666664,0.10943396,0.94574714
12,M,0.088,0.036666665,0.051764704,0.9536782
13,N,0.057777777,0.13,0.08,0.89689654
14,O,0.12820514,0.016666668,0.029498529,0.9621839
15,P,0.14606741,0.043333333,0.06683804,0.95827585
16,Q,0.21463415,0.14666666,0.17425743,0.952069
17,R,0.12162162,0.03,0.048128344,0.95908046
18,S,0.0,0.0,,0.9629885
19,T,0.14545454,0.053333335,0.07804879,0.95655173
20,U,0.055555556,0.006666667,0.011904761,0.9618391
21,V,0.23076923,0.01,0.019169329,0.9647126
22,W,0.06005222,0.15333334,0.08630394,0.88804597
23,X,0.13157895,0.05,0.07246377,0.95586205
24,Y,0.14516129,0.03,0.04972375,0.96045977
25,Z,0.10137672,0.27,0.14740674,0.8922989
26,space,0.07556936,0.24333334,0.11532386,0.87126434
27,del,0.18611111,0.22333333,0.2030303,0.9395402
28,nothing,0.36307693,0.39333335,0.3776,0.95528734
