,class,precision,recall,f1-score,accuracy
0,A,0.88435376,0.8580858,0.8710218,0.9911494
1,B,0.90068495,0.8594771,0.8795986,0.99172413
2,C,0.94545454,0.97196263,0.95852536,0.99689656
3,D,0.95019156,0.86713284,0.90676415,0.99413794
4,E,0.7051887,0.9373041,0.8048452,0.98333335
5,F,0.956,0.7966667,0.86909086,0.99172413
6,G,0.85625,0.96478873,0.9072848,0.99356323
7,H,0.9387097,0.9326923,0.93569124,0.9954023
8,I,0.7574932,0.9297659,0.8348349,0.9873563
9,J,0.9151291,0.8953069,0.90510947,0.99402297
10,K,0.8302583,0.7922535,0.81081074,0.987931
11,L,0.97894734,0.92384106,0.9505963,0.99666667
12,M,0.81848186,0.81578946,0.8171334,0.9872414
13,N,0.7921348,0.94,0.8597561,0.9894253
14,O,0.9186441,0.86031747,0.8885246,0.9921839
15,P,0.8936877,0.95053005,0.9212329,0.99471265
16,Q,0.9749104,0.92517006,0.94938916,0.99666667
17,R,0.8765432,0.7473684,0.8068182,0.9882759
18,S,0.8631179,0.77474403,0.8165468,0.9882759
19,T,0.8512111,0.86315787,0.85714287,0.9905747
20,U,0.7770492,0.8061224,0.79131883,0.9856322
21,V,0.73260075,0.7067138,0.7194244,0.98206896
22,W,0.8888889,0.8192771,0.8526646,0.9891954
23,X,0.7716763,0.8291925,0.79940116,0.9845977
24,Y,0.9147982,0.6496815,0.7597765,0.9851724
25,Z,0.89067525,0.89354837,0.8921095,0.99229884
26,space,0.7943925,0.87931037,0.8346972,0.9883908
27,del,0.9319728,0.9194631,0.9256757,0.99494255
28,nothing,0.9589905,0.9967213,0.977492,0.9983908
