,class,precision,recall,f1-score,accuracy
0,A,0.7598784,0.8865248,0.8183306,0.9872414
1,B,0.8967742,0.9025974,0.8996764,0.99287355
2,C,0.9895105,0.9725086,0.9809359,0.9987356
3,D,0.90819675,0.9264214,0.91721857,0.99425286
4,E,0.74168795,0.9385113,0.8285714,0.9862069
5,F,0.9228188,0.9786477,0.9499137,0.99666667
6,G,0.9662577,0.93195266,0.94879526,0.99609196
7,H,0.93037975,0.96710527,0.9483871,0.99632186
8,I,0.8636364,0.9140893,0.88814694,0.99229884
9,J,0.93311036,0.9755245,0.9538461,0.99689656
10,K,0.8786885,0.9273356,0.9023569,0.99333334
11,L,0.94684386,0.91935486,0.93289685,0.99528736
12,M,0.8827839,0.7554859,0.8141892,0.9873563
13,N,0.7592593,0.87234044,0.81188124,0.9868966
14,O,0.9604743,0.76898736,0.8541301,0.9904598
15,P,0.98344374,0.8918919,0.93543303,0.99528736
16,Q,0.95357144,0.93356645,0.9434629,0.99632186
17,R,0.80427045,0.80427045,0.80427045,0.9873563
18,S,0.7125,0.7916667,0.75,0.98252875
19,T,0.92070484,0.7385159,0.8196079,0.9894253
20,U,0.9124424,0.69964665,0.792,0.988046
21,V,0.8664122,0.7668919,0.8136201,0.988046
22,W,0.8979592,0.85714287,0.87707645,0.99149424
23,X,0.86551726,0.81229776,0.8380635,0.9888506
24,Y,0.8146214,0.94259816,0.8739496,0.9896552
25,Z,0.9591837,0.8545455,0.9038462,0.99425286
26,space,0.89705884,0.9807074,0.93702,0.99528736
27,del,0.93929714,0.9767442,0.95765465,0.9970115
28,nothing,0.9627329,1.0,0.98101264,0.9986207
