	                                	
----------------------------------------------------------------

	                                	ImageProcessingApp
	                                	2023.07.11.02.39.07.528903
	                                	
----------------------------------------------------------------

	2023.07.11.02.39.13.484247      			Retreving batch #71 w/ 32 samples
	2023.07.11.02.39.13.521148      			Retreving batch #72 w/ 32 samples
	2023.07.11.02.39.13.556055      			Retreving batch #73 w/ 32 samples
	2023.07.11.02.39.13.591959      			Retreving batch #74 w/ 32 samples
	2023.07.11.02.39.13.629859      			Retreving batch #75 w/ 32 samples
	2023.07.11.02.39.13.664274      			Retreving batch #76 w/ 32 samples
	2023.07.11.02.39.13.700178      			Retreving batch #77 w/ 32 samples
	2023.07.11.02.39.13.735084      			Retreving batch #78 w/ 32 samples
	2023.07.11.02.39.13.772983      			Retreving batch #79 w/ 32 samples
	2023.07.11.02.39.13.809890      			Retreving batch #80 w/ 32 samples
	2023.07.11.02.39.13.850291      			Retreving batch #81 w/ 32 samples
	2023.07.11.02.39.13.890184      			Retreving batch #82 w/ 32 samples
	2023.07.11.02.39.13.928087      			Retreving batch #83 w/ 32 samples
	2023.07.11.02.39.13.963997      			Retreving batch #84 w/ 32 samples
	2023.07.11.02.39.13.999908      			Retreving batch #85 w/ 32 samples
	2023.07.11.02.39.14.038314      			Retreving batch #86 w/ 32 samples
	2023.07.11.02.39.14.077224      			Retreving batch #87 w/ 32 samples
	2023.07.11.02.39.14.116120      			Retreving batch #88 w/ 32 samples
	2023.07.11.02.39.14.155019      			Retreving batch #89 w/ 32 samples
	2023.07.11.02.39.14.189927      			Retreving batch #90 w/ 32 samples
	2023.07.11.02.39.14.226337      			Retreving batch #91 w/ 32 samples
	2023.07.11.02.39.14.262241      			Retreving batch #92 w/ 32 samples
	2023.07.11.02.39.14.295156      			Retreving batch #93 w/ 32 samples
