Loss,Precision,Recall,F1
3.3672066,0.0008081897,0.03448276,0.001579363
3.367384,0.0012122844,0.03448276,0.002342225
3.3675263,0.0008081897,0.03448276,0.001579363
3.3672822,0.003625306,0.043956045,0.0066981753
3.3673375,0.0013469828,0.03448276,0.0025926887
3.3669634,0.0013469828,0.03448276,0.0025926887
3.3661814,0.0012122844,0.03448276,0.002342225
3.3873088,0.0005387931,0.03448276,0.001061008
3.366344,0.0013683635,0.03448276,0.002632272
3.3674486,0.0006734914,0.03448276,0.0013211785
3.3671992,0.0012122844,0.03448276,0.002342225
3.367262,0.001481681,0.03448276,0.002841276
3.3674035,0.0010775862,0.03448276,0.002089864
3.3670735,0.0008081897,0.03448276,0.001579363
3.3668566,0.0017510776,0.03448276,0.0033329062
3.3678956,0.001481681,0.03448276,0.002841276
3.3677301,0.0012122844,0.03448276,0.002342225
3.366971,0.0017510776,0.03448276,0.0033329062
3.366622,0.002020474,0.03448276,0.0038172796
3.3672664,0.0012122844,0.03448276,0.002342225
3.3673668,0.0008081897,0.03448276,0.001579363
3.3684149,0.0008081897,0.03448276,0.001579363
3.3671575,0.0013469828,0.03448276,0.0025926887
3.3674536,0.0006734914,0.03448276,0.0013211785
3.3666081,0.0018857758,0.03448276,0.0035759897
3.366784,0.0013469828,0.03448276,0.0025926887
3.367284,0.0017510776,0.03448276,0.0033329062
3.3674283,0.0012122844,0.03448276,0.002342225
3.368097,0.0006734914,0.03448276,0.0013211785
3.3671923,0.0017510776,0.03448276,0.0033329062
3.3667207,0.0028286637,0.03448276,0.0052284324
3.3674705,0.00040409484,0.03448276,0.00079882843
3.3674765,0.0005387931,0.03448276,0.001061008
3.3671649,0.0018857758,0.03448276,0.0035759897
3.3667154,0.0017510776,0.03448276,0.0033329062
3.3672872,0.0008081897,0.03448276,0.001579363
3.366918,0.0012122844,0.03448276,0.002342225
3.3678765,0.0010775862,0.03448276,0.002089864
3.3669643,0.0008081897,0.03448276,0.001579363
3.3671396,0.0016163794,0.03448276,0.0030880081
3.3670673,0.0009428879,0.03448276,0.0018355841
3.3668933,0.0012122844,0.03448276,0.002342225
3.3675718,0.0010775862,0.03448276,0.002089864
3.367273,0.0013469828,0.03448276,0.0025926887
3.3666172,0.001481681,0.03448276,0.002841276
3.367806,0.0009428879,0.03448276,0.0018355841
3.3672004,0.0017510776,0.03448276,0.0033329062
3.3671603,0.0016163794,0.03448276,0.0030880081
3.3679183,0.0009428879,0.03448276,0.0018355841
3.3669696,0.0010775862,0.03448276,0.002089864
3.36649,0.0010775862,0.03448276,0.002089864
3.3670375,0.001481681,0.03448276,0.002841276
3.367088,0.002020474,0.03448276,0.0038172796
3.367834,0.0006734914,0.03448276,0.0013211785
3.3676212,0.001481681,0.03448276,0.002841276
3.3671074,0.0017510776,0.03448276,0.0033329062
3.3678694,0.0010775862,0.03448276,0.002089864
3.3677025,0.0012122844,0.03448276,0.002342225
3.3669472,0.0013469828,0.03448276,0.0025926887
3.3681612,0.0008081897,0.03448276,0.001579363
3.3669271,0.0016163794,0.03448276,0.0030880081
3.366369,0.0013469828,0.03448276,0.0025926887
3.3675525,0.0017510776,0.03448276,0.0033329062
3.3660913,0.001481681,0.03448276,0.002841276
3.366191,0.0021551724,0.03448276,0.004056795
3.3675554,0.0008081897,0.03448276,0.001579363
3.3672986,0.0017510776,0.03448276,0.0033329062
3.36932,0.0009428879,0.03448276,0.0018355841
3.3670137,0.0006734914,0.03448276,0.0013211785
3.3658442,0.0017510776,0.03448276,0.0033329062
3.366554,0.0008081897,0.03448276,0.001579363
3.3667579,0.0012122844,0.03448276,0.002342225
3.3683202,0.0008081897,0.03448276,0.001579363
3.368105,0.0010775862,0.03448276,0.002089864
3.3678527,0.0012122844,0.03448276,0.002342225
3.3688064,0.0006734914,0.03448276,0.0013211785
3.3682423,0.0010775862,0.03448276,0.002089864
3.367515,0.0013469828,0.03448276,0.0025926887
3.3668373,0.0012122844,0.03448276,0.002342225
3.3684354,0.0009428879,0.03448276,0.0018355841
3.3674295,0.0010775862,0.03448276,0.002089864
3.3666327,0.0010775862,0.03448276,0.002089864
3.3668776,0.0013469828,0.03448276,0.0025926887
3.3675785,0.0005387931,0.03448276,0.001061008
3.3674712,0.0008081897,0.03448276,0.001579363
3.3680663,0.0008081897,0.03448276,0.001579363
3.367096,0.0009428879,0.03448276,0.0018355841
3.366794,0.0022898708,0.03448276,0.0042945556
3.366196,0.0012122844,0.03448276,0.002342225
3.3671453,0.0013469828,0.03448276,0.0025926887
3.3682292,0.0005387931,0.03448276,0.001061008
3.3671932,0.0012122844,0.03448276,0.002342225
3.3665133,0.001481681,0.03448276,0.002841276
3.3675883,0.0016163794,0.03448276,0.0030880081
3.3682442,0.001481681,0.03448276,0.002841276
3.3666792,0.0012122844,0.03448276,0.002342225
3.368263,0.0005387931,0.03448276,0.001061008
3.3691,0.0008081897,0.03448276,0.001579363
3.3666663,0.0008081897,0.03448276,0.001579363
3.3672333,0.0008081897,0.03448276,0.001579363
3.3680985,0.0005387931,0.03448276,0.001061008
3.3675988,0.00040409484,0.03448276,0.00079882843
3.3677037,0.0010775862,0.03448276,0.002089864
3.3677979,0.0013469828,0.03448276,0.0025926887
3.367904,0.0006734914,0.03448276,0.0013211785
3.3681636,0.001481681,0.03448276,0.002841276
3.3671525,0.0016163794,0.03448276,0.0030880081
3.3675952,0.0013469828,0.03448276,0.0025926887
3.3671875,0.0016163794,0.03448276,0.0030880081
3.3676848,0.0013469828,0.03448276,0.0025926887
3.3670382,0.0006734914,0.03448276,0.0013211785
3.3669043,0.0012122844,0.03448276,0.002342225
3.366938,0.0013469828,0.03448276,0.0025926887
3.3676558,0.0006734914,0.03448276,0.0013211785
3.36708,0.0013469828,0.03448276,0.0025926887
3.3674345,0.0006734914,0.03448276,0.0013211785
3.3674252,0.0012122844,0.03448276,0.002342225
3.3675308,0.0009428879,0.03448276,0.0018355841
3.3679495,0.0005387931,0.03448276,0.001061008
3.3677075,0.0013469828,0.03448276,0.0025926887
3.367198,0.0016163794,0.03448276,0.0030880081
3.3669472,0.0012122844,0.03448276,0.002342225
3.3676295,0.001481681,0.03448276,0.002841276
3.3679354,0.0012122844,0.03448276,0.002342225
3.3672514,0.0010775862,0.03448276,0.002089864
3.3673544,0.0006734914,0.03448276,0.0013211785
3.3672895,0.0006734914,0.03448276,0.0013211785
3.36716,0.001481681,0.03448276,0.002841276
3.3672292,0.0013469828,0.03448276,0.0025926887
3.3675568,0.0005387931,0.03448276,0.001061008
3.3672318,0.0005387931,0.03448276,0.001061008
3.3671718,0.0012122844,0.03448276,0.002342225
3.3673697,0.0012122844,0.03448276,0.002342225
3.36712,0.0008081897,0.03448276,0.001579363
3.3672729,0.0012122844,0.03448276,0.002342225
3.367406,0.0008081897,0.03448276,0.001579363
3.3672466,0.0009428879,0.03448276,0.0018355841
3.3673477,0.0009428879,0.03448276,0.0018355841
3.3671727,0.0016163794,0.03448276,0.0030880081
3.3673687,0.0012122844,0.03448276,0.002342225
3.3669035,0.0022898708,0.03448276,0.0042945556
3.367426,0.0006734914,0.03448276,0.0013211785
3.3676028,0.0010775862,0.03448276,0.002089864
3.3672554,0.00040409484,0.03448276,0.00079882843
3.3676176,0.0013469828,0.03448276,0.0025926887
3.3671117,0.0006734914,0.03448276,0.0013211785
3.3673506,0.0012122844,0.03448276,0.002342225
3.3672209,0.0013469828,0.03448276,0.0025926887
3.3671644,0.0017510776,0.03448276,0.0033329062
3.3674374,0.001481681,0.03448276,0.002841276
3.3671274,0.0016163794,0.03448276,0.0030880081
3.36727,0.0012122844,0.03448276,0.002342225
3.3672428,0.001481681,0.03448276,0.002841276
3.3673613,0.0009428879,0.03448276,0.0018355841
3.367405,0.0016163794,0.03448276,0.0030880081
3.3674994,0.0008081897,0.03448276,0.001579363
3.367296,0.0016163794,0.03448276,0.0030880081
3.3673491,0.0010775862,0.03448276,0.002089864
3.3674026,0.0013469828,0.03448276,0.0025926887
3.3673117,0.0016163794,0.03448276,0.0030880081
3.3672686,0.001481681,0.03448276,0.002841276
3.3673756,0.0013469828,0.03448276,0.0025926887
3.3673525,0.0009428879,0.03448276,0.0018355841
3.3671687,0.0009428879,0.03448276,0.0018355841
3.3673759,0.0010775862,0.03448276,0.002089864
3.3671803,0.001481681,0.03448276,0.002841276
3.3674932,0.0009428879,0.03448276,0.0018355841
3.3673253,0.0012122844,0.03448276,0.002342225
3.3675642,0.00026939655,0.03448276,0.0005346164
3.3673606,0.0013469828,0.03448276,0.0025926887
3.3673182,0.0008081897,0.03448276,0.001579363
3.3671021,0.0013469828,0.03448276,0.0025926887
3.3671682,0.0016163794,0.03448276,0.0030880081
3.3668609,0.0012122844,0.03448276,0.002342225
3.367321,0.0005387931,0.03448276,0.001061008
3.3673487,0.00040409484,0.03448276,0.00079882843
3.367416,0.0008081897,0.03448276,0.001579363
3.3675025,0.0010775862,0.03448276,0.002089864
3.3677578,0.0006734914,0.03448276,0.0013211785
3.3673959,0.0009428879,0.03448276,0.0018355841
3.3673048,0.0009428879,0.03448276,0.0018355841
3.3670468,0.0016163794,0.03448276,0.0030880081
3.3671763,0.0012122844,0.03448276,0.002342225
3.367513,0.0013469828,0.03448276,0.0025926887
3.3670933,0.0012122844,0.03448276,0.002342225
3.3671627,0.0013469828,0.03448276,0.0025926887
3.3674526,0.0008081897,0.03448276,0.001579363
3.3672595,0.001481681,0.03448276,0.002841276
3.3675961,0.0010775862,0.03448276,0.002089864
3.3675165,0.0012122844,0.03448276,0.002342225
3.3673804,0.0010775862,0.03448276,0.002089864
3.367325,0.0012122844,0.03448276,0.002342225
3.3669236,0.0016163794,0.03448276,0.0030880081
3.3676295,0.0010775862,0.03448276,0.002089864
3.3672442,0.0010775862,0.03448276,0.002089864
3.367539,0.0013469828,0.03448276,0.0025926887
3.3674116,0.0013469828,0.03448276,0.0025926887
3.3672173,0.0009428879,0.03448276,0.0018355841
3.3672838,0.0010775862,0.03448276,0.002089864
3.3672893,0.0008081897,0.03448276,0.001579363
3.3674479,0.0013469828,0.03448276,0.0025926887
3.3672705,0.0012122844,0.03448276,0.002342225
3.367733,0.0005387931,0.03448276,0.001061008
3.367734,0.0006734914,0.03448276,0.0013211785
3.3674488,0.0008081897,0.03448276,0.001579363
3.367609,0.0012122844,0.03448276,0.002342225
3.367477,0.0018857758,0.03448276,0.0035759897
3.36741,0.0010775862,0.03448276,0.002089864
3.3675976,0.0008081897,0.03448276,0.001579363
3.3676019,0.001481681,0.03448276,0.002841276
3.3676445,0.0010775862,0.03448276,0.002089864
3.36738,0.0008081897,0.03448276,0.001579363
3.3672795,0.0010775862,0.03448276,0.002089864
3.3674867,0.0008081897,0.03448276,0.001579363
3.367266,0.0010775862,0.03448276,0.002089864
3.3669567,0.0021551724,0.03448276,0.004056795
3.3673134,0.0010775862,0.03448276,0.002089864
3.3670352,0.00040409484,0.03448276,0.00079882843
3.367328,0.0012122844,0.03448276,0.002342225
